first_name,last_name,email,salary,age
Alyssa,Bailey,abailey@aol.com,$45k,39
Ashley,Morris,ashley_ann_morris@yahoo.com,$185k,65
Emily,Lewis,emily@ymail.com,$55k,73
Brittany,Sanchez,bsanchez@rocketmail.com,$65k,72
Alexis,Gray,alexis_gray@aol.com,$85k,55
Oliver,Green,oliver@ymail.com,$165k,40
Charlotte,Perry,c.i.perry@ymail.com,$65k,62
Alexander,Price,aprice@gmail.com,$215k,46
Steven,Hall,s_hall@gmail.com,$35k,71
Kayla,Bailey,k_bailey67@rocketmail.com,$35k,60
Adam,Cox,ajcox@live.com,$145k,18
Victoria,Thompson,v_thompson@hotmail.com,$45k,23
Kevin,Davis,kevin_lee_davis21@yahoo.com,$105k,21
Matthew,Lee,mh@rocketmail.com,$125k,18
William,Roberts,william_ray_roberts@aol.com,$75k,20
Charlotte,Young,charlotte_l_young@aol.com,$105k,55
Timothy,Kelly,timothy_kelly@aol.com,$75k,49
Megan,Brown,megan_l_brown@live.com,$55k,50
Benjamin,Morris,b.l.morris29@hotmail.com,$85k,71
Charles,Russell,cr15@rocketmail.com,$245k,21
Alyssa,Wilson,akwilson@outlook.com,$185k,76
Kayla,Carter,k.carter@live.com,$105k,35
Kyle,Taylor,kyle@rocketmail.com,$65k,76
Mateo,King,mateo.king20@ymail.com,$215k,51
Eric,Powell,eric@outlook.com,$95k,42
Jasmine,Bryant,jasmine.bryant@yahoo.com,$185k,63
Aaron,Reed,aaron@hotmail.com,$95k,31
Evelyn,Mitchell,e.mitchell@yahoo.com,$145k,55
Abigail,Powell,abigail_lynn_powell@outlook.com,$215k,29
Jose,Jones,j.jones@rocketmail.com,$285k,59
Brittany,Lopez,brlopez@rocketmail.com,$55k,38
Mateo,Hall,m_hall@aol.com,$85k,36
Jasmine,Bryant,j.e@outlook.com,$215k,60
John,Lopez,johnlopez@outlook.com,$125k,43
Emily,Williams,e_williams@ymail.com,$65k,25
Sophia,Turner,sophia.l@yahoo.com,$105k,45
Kevin,Sanchez,ksanchez@aol.com,$85k,42
Melissa,Martinez,ml@gmail.com,$35k,25
Natalie,Collins,nataliecollins@gmail.com,$55k,40
Nicholas,Ramirez,n.s.ramirez@gmail.com,$165k,61
Ashley,Bailey,a.e.bailey59@aol.com,$35k,42
Steven,Rivera,stevenandrewrivera93@ymail.com,$35k,65
Kaitlyn,Richardson,kaitlynrose23@aol.com,$45k,71
Steven,Foster,sfoster@live.com,$85k,76
Jason,Price,j_a_price@hotmail.com,$125k,40
Lauren,Ward,lauren@rocketmail.com,$65k,63
Sara,Thompson,sathompson@gmail.com,$185k,38
Dylan,Johnson,d.g.johnson@gmail.com,$65k,52
Olivia,Griffin,olivia_jane_griffin@ymail.com,$245k,25
Robert,Bell,r.a.bell27@outlook.com,$125k,62
Natalie,Sanders,nmsanders@live.com,$165k,48
Christina,Adams,christinamadams@outlook.com,$65k,63
Sophia,Hernandez,s.hernandez@rocketmail.com,$55k,47
